Month_Ordered,Month_Label,Group,Variable_1,Variable_2,Variable_3
1,1/1/20,1,1,1,3
2,2/1/20,1,1,3,5
3,3/1/20,1,4,1,4
4,4/1/20,1,1,1,2
5,5/1/20,1,1,5,5
6,6/1/20,1,4,4,4
7,7/1/20,1,5,5,5
8,8/1/20,1,3,2,4
9,9/1/20,1,1,5,4
10,10/1/20,1,4,2,3
11,11/1/20,1,3,1,4
12,12/1/20,1,3,1,2
1,1/1/20,2,7,10,9
2,2/1/20,2,9,9,10
3,3/1/20,2,7,5,9
4,4/1/20,2,6,9,5
5,5/1/20,2,9,7,8
6,6/1/20,2,9,5,5
7,7/1/20,2,8,5,7
8,8/1/20,2,7,8,9
9,9/1/20,2,9,6,6
10,10/1/20,2,6,10,6
11,11/1/20,2,8,10,5
12,12/1/20,2,9,10,7
